
Choice Selection: 
Press 1 to use default values: size=2000, threshold= 1000 with generation of 100 keys.
Press 2 to use user values.
Press 3 to read files.
Enter Choice: 1
Finished generating new keys
Test method: allkeys(), but also print values
10438960 Name_6
10479941 Name_55
12871406 Name_74
13343352 Name_13
14221621 Name_95
14312452 Name_85
15013211 Name_49
15558275 Name_48
16069649 Name_9
19729980 Name_14
19779406 Name_35
20401432 Name_37
21057813 Name_79
23585303 Name_57
23949319 Name_11
24987812 Name_94
26109779 Name_98
26800706 Name_52
26951961 Name_23
26969926 Name_73
27565376 Name_43
28535121 Name_77
28746452 Name_70
28923725 Name_8
30287353 Name_31
30884629 Name_64
32565931 Name_34
33076711 Name_51
34623147 Name_97
38911518 Name_16
39308891 Name_66
39322487 Name_84
39341316 Name_93
39359135 Name_68
39539578 Name_47
40037903 Name_32
41630921 Name_17
41897231 Name_1
42390893 Name_24
45951004 Name_100
47904525 Name_7
48259985 Name_72
48739290 Name_29
49148117 Name_5
49383113 Name_10
50066196 Name_96
57446905 Name_65
57492007 Name_56
57643183 Name_88
58112883 Name_42
58273879 Name_38
58361200 Name_19
58711647 Name_26
59593267 Name_12
59930837 Name_82
61218126 Name_30
61412276 Name_3
63587094 Name_45
64234704 Name_71
64671613 Name_20
64681243 Name_2
65332295 Name_76
66246925 Name_50
69205336 Name_81
70454654 Name_69
70620060 Name_67
74718930 Name_90
74998124 Name_62
75449026 Name_59
75465289 Name_40
76002404 Name_28
76184549 Name_44
76935122 Name_36
77091666 Name_25
78358231 Name_22
78558340 Name_54
80079449 Name_80
81284586 Name_86
81371415 Name_33
82046297 Name_53
82404302 Name_41
82612377 Name_92
82621006 Name_61
83607576 Name_39
84838894 Name_87
92045146 Name_15
92494125 Name_89
93288544 Name_46
93412984 Name_78
94229323 Name_27
94865672 Name_18
96857749 Name_60
96922001 Name_58
97071487 Name_21
97754114 Name_4
97890455 Name_63
98240604 Name_75
98708882 Name_83
99434692 Name_99
99474472 Name_91

Test method add(key,value)- 3 times
key=22345678, Add_1
key=42345678, Add_2
key=52345678, Add_3

10438960 Name_6
10479941 Name_55
12871406 Name_74
13343352 Name_13
14221621 Name_95
14312452 Name_85
15013211 Name_49
15558275 Name_48
16069649 Name_9
19729980 Name_14
19779406 Name_35
20401432 Name_37
21057813 Name_79
22345678 Add_1
23585303 Name_57
23949319 Name_11
24987812 Name_94
26109779 Name_98
26800706 Name_52
26951961 Name_23
26969926 Name_73
27565376 Name_43
28535121 Name_77
28746452 Name_70
28923725 Name_8
30287353 Name_31
30884629 Name_64
32565931 Name_34
33076711 Name_51
34623147 Name_97
38911518 Name_16
39308891 Name_66
39322487 Name_84
39341316 Name_93
39359135 Name_68
39539578 Name_47
40037903 Name_32
41630921 Name_17
41897231 Name_1
42345678 Add_2
42390893 Name_24
45951004 Name_100
47904525 Name_7
48259985 Name_72
48739290 Name_29
49148117 Name_5
49383113 Name_10
50066196 Name_96
52345678 Add_3
57446905 Name_65
57492007 Name_56
57643183 Name_88
58112883 Name_42
58273879 Name_38
58361200 Name_19
58711647 Name_26
59593267 Name_12
59930837 Name_82
61218126 Name_30
61412276 Name_3
63587094 Name_45
64234704 Name_71
64671613 Name_20
64681243 Name_2
65332295 Name_76
66246925 Name_50
69205336 Name_81
70454654 Name_69
70620060 Name_67
74718930 Name_90
74998124 Name_62
75449026 Name_59
75465289 Name_40
76002404 Name_28
76184549 Name_44
76935122 Name_36
77091666 Name_25
78358231 Name_22
78558340 Name_54
80079449 Name_80
81284586 Name_86
81371415 Name_33
82046297 Name_53
82404302 Name_41
82612377 Name_92
82621006 Name_61
83607576 Name_39
84838894 Name_87
92045146 Name_15
92494125 Name_89
93288544 Name_46
93412984 Name_78
94229323 Name_27
94865672 Name_18
96857749 Name_60
96922001 Name_58
97071487 Name_21
97754114 Name_4
97890455 Name_63
98240604 Name_75
98708882 Name_83
99434692 Name_99
99474472 Name_91

Test method: remove(key)-2 times
key= 123456783
Last key

10438960 Name_6
10479941 Name_55
12871406 Name_74
13343352 Name_13
14221621 Name_95
14312452 Name_85
15013211 Name_49
15558275 Name_48
16069649 Name_9
19729980 Name_14
19779406 Name_35
20401432 Name_37
21057813 Name_79
22345678 Add_1
23585303 Name_57
23949319 Name_11
24987812 Name_94
26109779 Name_98
26800706 Name_52
26951961 Name_23
26969926 Name_73
27565376 Name_43
28535121 Name_77
28746452 Name_70
28923725 Name_8
30287353 Name_31
30884629 Name_64
32565931 Name_34
33076711 Name_51
34623147 Name_97
38911518 Name_16
39308891 Name_66
39322487 Name_84
39341316 Name_93
39359135 Name_68
39539578 Name_47
40037903 Name_32
41630921 Name_17
41897231 Name_1
42345678 Add_2
42390893 Name_24
45951004 Name_100
47904525 Name_7
48259985 Name_72
48739290 Name_29
49148117 Name_5
49383113 Name_10
50066196 Name_96
52345678 Add_3
57446905 Name_65
57492007 Name_56
57643183 Name_88
58112883 Name_42
58273879 Name_38
58361200 Name_19
58711647 Name_26
59593267 Name_12
59930837 Name_82
61218126 Name_30
61412276 Name_3
63587094 Name_45
64234704 Name_71
64671613 Name_20
64681243 Name_2
65332295 Name_76
66246925 Name_50
69205336 Name_81
70454654 Name_69
70620060 Name_67
74718930 Name_90
74998124 Name_62
75449026 Name_59
75465289 Name_40
76002404 Name_28
76184549 Name_44
76935122 Name_36
77091666 Name_25
78358231 Name_22
78558340 Name_54
80079449 Name_80
81284586 Name_86
81371415 Name_33
82046297 Name_53
82404302 Name_41
82612377 Name_92
82621006 Name_61
83607576 Name_39
84838894 Name_87
92045146 Name_15
92494125 Name_89
93288544 Name_46
93412984 Name_78
94229323 Name_27
94865672 Name_18
96857749 Name_60
96922001 Name_58
97071487 Name_21
97754114 Name_4
97890455 Name_63
98240604 Name_75
98708882 Name_83

First value 10438960: Name_6
Last value  98708882: Name_83

Test method: nextkey(): first key
10479941

Test method: prevkey(): last key
98240604

Test method: rangeKey(key1,key2)

10438960 Name_6
10479941 Name_55
12871406 Name_74
13343352 Name_13
14221621 Name_95
14312452 Name_85
15013211 Name_49
15558275 Name_48
16069649 Name_9
19729980 Name_14
19779406 Name_35
20401432 Name_37
21057813 Name_79
22345678 Add_1
23585303 Name_57
23949319 Name_11
24987812 Name_94
26109779 Name_98
26800706 Name_52
26951961 Name_23
26969926 Name_73
27565376 Name_43
28535121 Name_77
28746452 Name_70
28923725 Name_8
30287353 Name_31
30884629 Name_64
32565931 Name_34
33076711 Name_51
34623147 Name_97
38911518 Name_16
39308891 Name_66
39322487 Name_84
39341316 Name_93
39359135 Name_68
39539578 Name_47
40037903 Name_32
41630921 Name_17
41897231 Name_1
42345678 Add_2
42390893 Name_24
45951004 Name_100
47904525 Name_7
48259985 Name_72
48739290 Name_29
49148117 Name_5
49383113 Name_10
50066196 Name_96
52345678 Add_3
57446905 Name_65
57492007 Name_56
57643183 Name_88
58112883 Name_42
58273879 Name_38
58361200 Name_19
58711647 Name_26
59593267 Name_12
59930837 Name_82
61218126 Name_30
61412276 Name_3
63587094 Name_45
64234704 Name_71
64671613 Name_20
64681243 Name_2
65332295 Name_76
66246925 Name_50
69205336 Name_81
70454654 Name_69
70620060 Name_67
74718930 Name_90
74998124 Name_62
75449026 Name_59
75465289 Name_40
76002404 Name_28
76184549 Name_44
76935122 Name_36
77091666 Name_25
78358231 Name_22
78558340 Name_54
80079449 Name_80
81284586 Name_86
81371415 Name_33
82046297 Name_53
82404302 Name_41
82612377 Name_92
82621006 Name_61
83607576 Name_39
84838894 Name_87
92045146 Name_15
92494125 Name_89
93288544 Name_46
93412984 Name_78
94229323 Name_27
94865672 Name_18
96857749 Name_60
96922001 Name_58
97071487 Name_21
97754114 Name_4
97890455 Name_63
98240604 Name_75
98708882 Name_83
